id,name,alt_name,region,country,latitude,longitude,tags,km_distance_to_ocean,is_coastal,ocean_latitude_1,ocean_longitude_1,ocean_lat1,ocean_lon1
AK91,Craig,Sháan Séet,Alaska,US,55.4764,-133.148,"ardac,eds",1.6,True,55.537,-133.2025,55.5688,-133.2313
AK92,Crooked Creek,Qipcarpak,Alaska,US,61.87,-158.111,"ardac,eds,ncr",239.9,False,63.6874,-161.336,63.4563,-161.0533
AK499,Crown Point,,Alaska,US,60.4289,-149.3707,"ardac,eds,ncr",34.2,True,60.0092,-149.5263,60.0222,-149.5754
AK448,Dall Bay State Marine Park,,Alaska,US,55.1559,-131.749,"ardac,eds,ncr",1.0,True,55.2171,-131.8008,55.2494,-131.8282
AK93,Deadhorse,,Alaska,US,70.2097,-148.418,"ardac,eds,ncr",11.3,True,70.4088,-148.0481,70.2763,-148.1422
AK449,Decision Point State Marine Park,,Alaska,US,60.8016,-148.464,"ardac,eds,ncr",0.8,True,60.84,-148.2307,60.8526,-147.9354
AK94,Deering,Ipnatchiaq,Alaska,US,66.0755,-162.717,"ardac,eds,ncr",1.1,True,66.1169,-162.8497,66.1386,-162.9197
AK95,Delta Junction,,Alaska,US,64.0377,-145.732,"ardac,eds,ncr",324.7,False,60.9652,-146.6278,61.0619,-146.6581
AK500,Deltana,,Alaska,US,64.0404,-145.5182,"ardac,eds,ncr",327.2,False,60.9692,-146.4346,61.0838,-146.799
AK501,Denali Park,,Alaska,US,63.6388,-148.7895,"ardac,eds,ncr",239.7,False,61.1903,-149.6203,61.1434,-149.6891
AK502,Diamond Ridge,,Alaska,US,59.6814,-151.6226,"ardac,eds,ncr",7.0,True,59.731,-151.7147,59.757,-151.7633
AK96,Dillingham,Curyung,Alaska,US,59.0397,-158.457,"ardac,eds,ncr",1.4,True,58.7703,-158.515,58.9461,-158.5876
AK97,Diomede,Iŋaliq,Alaska,US,65.7648,-168.911,"ardac,eds,ncr",0.4,True,65.8009,-169.051,65.8199,-169.1248
AK98,Dot Lake,Kelt’aaddh Menn’,Alaska,US,63.663,-144.049,"ardac,eds,ncr",305.7,False,60.854,-146.6601,60.9578,-146.7371
AK503,Dot Lake Village,,Alaska,US,63.6568,-144.0484,"ardac,eds,ncr",305.1,False,60.8479,-146.6591,60.9516,-146.7361
AK99,Douglas,,Alaska,US,58.2762,-134.392,"ardac,eds,ncr",0.8,True,58.3813,-134.7418,58.1652,-134.2793
AK469,Driftwood Bay State Marine Park,,Alaska,US,59.9128,-149.2571,"ardac,eds,ncr",1.4,True,59.964,-149.3463,59.9909,-149.3933
AK100,Dry Creek,,Alaska,US,63.7,-144.567,"ardac,eds,ncr",300.5,False,60.8481,-146.4893,60.9686,-146.8802
AK101,Dutch Harbor,,Alaska,US,53.891,-166.535,"ardac,eds",3.2,True,53.9589,-166.3675,53.9494,-166.6805
AK573,Dyke Range,,Alaska,US,64.7118,-147.3332,eds,371.2,False,61.2184,-149.8153,61.0346,-147.2404
AK102,Eagle,Tthee T'äwdlenn,Alaska,US,64.788,-141.2,"ardac,eds,ncr",482.9,False,69.0761,-137.6828,68.7892,-136.5351
AK103,Eagle River,,Alaska,US,61.3221,-149.567,"ardac,eds,ncr",9.3,True,61.2161,-149.6821,61.0767,-149.7535
AK104,Eagle Village,,Alaska,US,64.7805,-141.114,"ardac,eds,ncr",484.5,False,69.0666,-137.5828,68.8215,-136.8652
AK441,Eareckson Air Station,,Alaska,US,52.7122,174.1136,"ardac,eds",1.2,True,52.7393,175.1676,52.7434,173.9509
AK105,Edna Bay,,Alaska,US,55.9489,-133.662,"ardac,eds,ncr",1.3,True,56.0092,-133.7181,56.0409,-133.7476
AK106,Eek,Ekvicuaq,Alaska,US,60.2189,-162.024,"ardac,eds,ncr",7.5,True,60.2411,-162.4485,60.2623,-162.515
AK107,Egavik,,Alaska,US,64.0332,-160.917,"ardac,eds,ncr",1.8,True,63.9192,-160.9998,64.0983,-161.1015
AK108,Egegik,Igyagiiq,Alaska,US,58.2155,-157.376,"ardac,eds,ncr",1.1,True,58.2523,-157.7722,58.2848,-157.5227
AK109,Egorkovskoi,,Alaska,US,53.564,-168.0,"ardac,eds,ncr",0.9,True,53.601,-168.0959,53.6205,-168.1464
AK442,Eielson Air Force Base,,Alaska,US,64.6656,-147.1014,"ardac,eds,ncr",369.6,False,61.1861,-149.9329,60.9884,-147.0353
AK563,Eielson Alpa Research (1-1),,Alaska,US,65.2349,-147.763,eds,423.2,False,61.2425,-149.6374,61.15,-149.7318
AK564,Eielson Alpa Research (2-2),,Alaska,US,65.1945,-147.3161,eds,423.4,False,61.2286,-149.9,61.0159,-146.9922
AK565,Eielson Alpa Research (2-3),,Alaska,US,65.0653,-147.5641,eds,406.7,False,61.2433,-149.7591,61.0488,-147.175
AK566,Eielson Alpa Research (2-4),,Alaska,US,65.0994,-148.0044,eds,406.4,False,61.2617,-149.82,61.1737,-149.9133
AK568,Eielson Alpa Research (3-23),,Alaska,US,65.027,-147.1964,eds,406.8,False,61.2207,-149.7608,61.0267,-147.1881
AK567,Eielson Alpa Research (3-3),,Alaska,US,64.9103,-147.4459,eds,391.2,False,61.2474,-149.6229,61.055,-147.0384
AK569,Eielson Alpa Research (3-34),,Alaska,US,64.945,-147.861,eds,390.6,False,61.1095,-149.6851,61.1831,-149.7569
AK110,Eklutna,Idlughet,Alaska,US,61.458,-149.362,"ardac,eds,ncr",3.3,True,61.2055,-149.8283,61.0617,-149.9092
AK111,Ekuk,,Alaska,US,58.804,-158.541,"ardac,eds,ncr",0.6,True,58.8485,-158.6403,58.8719,-158.6926
AK112,Ekwok,Iquaq,Alaska,US,59.3497,-157.475,"ardac,eds,ncr",43.7,True,58.9316,-157.2189,58.7718,-157.5583
AK113,Elephant Point,,Alaska,US,66.2673,-161.333,"ardac,eds",1.5,True,66.3098,-161.4645,66.3322,-161.5339
AK114,Elfin Cove,,Alaska,US,58.1944,-136.343,"ardac,eds",0.4,True,58.2532,-136.4073,58.2842,-136.4412
AK115,Elim,Neviarcaurluq,Alaska,US,64.6175,-162.26,"ardac,eds,ncr",0.5,True,64.6786,-162.0195,64.7012,-162.0745
AK116,Ellamar,,Alaska,US,60.8961,-146.708,"ardac,eds,ncr",0.5,True,60.9489,-146.7958,60.9767,-146.842
AK570,Elmendorf Air Force Base,,Alaska,US,61.2698,-149.8112,eds,3.4,True,61.1636,-149.9253,61.1857,-149.9751
AK583,Elmendorf Air Force Base Site 2,,Alaska,US,61.24,-149.765,eds,6.7,True,61.2908,-149.8587,61.1559,-149.9289
AK117,Emmonak,Imangaq,Alaska,US,62.7778,-164.523,"ardac,eds,ncr",3.2,True,62.8175,-164.6437,62.8119,-165.0588
AK470,Entry Cove State Marine Park,,Alaska,US,60.8048,-148.3636,"ardac,eds,ncr",1.1,True,60.8431,-148.1302,60.8554,-147.8348
AK450,Ernie Haugen Public Use Area,,Alaska,US,56.5421,-132.6616,"ardac,eds,ncr",0.9,True,56.4033,-132.536,56.3767,-133.2095
AK119,Eska,,Alaska,US,61.7381,-148.906,"ardac,eds,ncr",32.2,True,61.1838,-149.7531,61.1926,-149.8241
AK120,Ester,,Alaska,US,64.8472,-148.014,"ardac,eds,ncr",378.6,False,61.1672,-149.7935,61.0838,-149.8861
AK504,Eureka Roadhouse,,Alaska,US,61.9375,-147.1688,"ardac,eds,ncr",79.3,True,60.8945,-147.4909,61.0347,-147.1769
AK505,Evansville,,Alaska,US,66.9238,-151.5061,"ardac,eds,ncr",381.0,False,66.7096,-160.3915,70.2054,-148.0652
AK122,Excursion Inlet,,Alaska,US,58.417,-135.441,"ardac,eds,ncr",0.6,True,58.3249,-135.5869,58.4626,-135.2381
AK123,Eyak,Igya’aq,Alaska,US,60.5652,-145.7,"ardac,eds,ncr",4.3,True,60.6187,-145.7852,60.6468,-145.8302
AK124,Fairbanks,,Alaska,US,64.8378,-147.716,"ardac,eds,ncr",380.3,False,61.1715,-149.8568,60.9834,-147.2769
AK574,Fairbanks Eielson Pipeline,,Alaska,US,64.6656,-147.1014,eds,369.6,False,61.1861,-149.9329,60.9884,-147.0353
AK575,Fairbanks Permafrost Station,,Alaska,US,64.8743,-147.68,eds,384.7,False,61.2083,-149.8275,61.0197,-147.2447
AK125,False Pass,Isanax̂,Alaska,US,54.8548,-163.407,"ardac,eds,ncr",0.8,True,54.9178,-163.2299,54.9171,-163.5512
AK506,Farm Loop,,Alaska,US,61.6354,-149.1482,"ardac,eds,ncr",16.0,True,61.2267,-149.6405,61.0783,-149.723
AK507,Farmers Loop,,Alaska,US,64.8988,-147.6978,"ardac,eds,ncr",387.2,False,61.2325,-149.8448,61.0442,-147.2601
AK126,Ferry,,Alaska,US,64.0172,-149.117,"ardac,eds,ncr",280.3,False,61.2424,-149.6443,61.1859,-149.7048
AK127,Fish Village,,Alaska,US,62.5212,-163.847,"ardac,eds,ncr",38.6,True,62.6682,-164.6981,62.5322,-164.726
AK508,Fishhook,,Alaska,US,61.6718,-149.2239,"ardac,eds,ncr",18.7,True,61.2628,-149.7158,61.1144,-149.798
AK128,Flat,,Alaska,US,62.4536,-158.007,"ardac,eds,ncr",198.5,False,63.647,-161.1352,63.38,-161.2111
AK129,Fort Glenn,,Alaska,US,53.3956,-167.881,"ardac,eds,ncr",1.6,True,53.4327,-167.9764,53.4861,-167.7604
AK440,Fort Greely,,Alaska,US,63.9731,-145.7181,"ardac,eds,ncr",318.1,False,60.9008,-146.6134,60.9975,-146.6436
AK576,Fort Richardson,,Alaska,US,61.2656,-149.641,eds,10.4,True,61.1596,-149.7556,61.1817,-149.8054
AK438,Fort Wainwright,,Alaska,US,64.8278,-147.6429,"ardac,eds,ncr",380.0,False,61.1625,-149.7915,60.9733,-147.2127
AK130,Fort Yukon,Gwichyaa Zheh,Alaska,US,66.5647,-145.274,"ardac,eds,ncr",377.4,False,69.5496,-140.6976,69.7881,-142.4092
