id,name,alt_name,region,country,latitude,longitude
NO380,Namdalseid,,Trøndelag,NO,64.1084,10.9186
NO381,Namsos,,Trøndelag,NO,64.4784,11.5418
NO382,Namsskogan,,Trøndelag,NO,64.9260,13.1593
NO383,Nærøy,,Trøndelag,NO,64.8630,11.6051
NO384,Oppdal,,Trøndelag,NO,62.5950,9.6876
NO385,Orkdal,,Trøndelag,NO,63.2999,9.8437
NO386,Osen,,Trøndelag,NO,64.2988,10.5128
NO387,Overhalla,,Trøndelag,NO,64.4938,11.9475
NO388,Ørland,,Trøndelag,NO,63.6857,9.6663
NO389,Raarvihke - Røyrvik,,Trøndelag,NO,64.8838,13.5631
NO390,Ranemsletta,,Trøndelag,NO,64.4945,11.9491
NO391,Rennebu,,Trøndelag,NO,62.8286,10.0049
NO392,Rindal,,Trøndelag,NO,63.0551,9.2127
NO393,Roan,,Trøndelag,NO,64.1728,10.2251
NO394,Røros,,Trøndelag,NO,62.5756,11.3873
NO395,Rørvik,,Trøndelag,NO,64.8619,11.2397
NO396,Røyrvik,,Trøndelag,NO,64.8839,13.5626
NO397,Selbu,,Trøndelag,NO,63.2177,11.0394
NO398,Sistranda,,Trøndelag,NO,63.7252,8.8332
NO399,Skaun,,Trøndelag,NO,63.3239,10.0675
NO400,Skogn,,Trøndelag,NO,63.7037,11.1926
NO401,Snåase,,Trøndelag,NO,64.2457,12.3778
NO402,Snåase - Snåsa,,Trøndelag,NO,64.2461,12.3829
NO403,Snillfjord,,Trøndelag,NO,63.3997,9.5019
NO404,Steinkjer,,Trøndelag,NO,64.1930,11.3851
NO405,Stjørdal,,Trøndelag,NO,63.5670,11.0273
NO406,Stjørdalshalsen,,Trøndelag,NO,63.4681,10.9262
NO407,Straumen,,Trøndelag,NO,63.8716,11.2962
NO408,Trondheim,,Trøndelag,NO,63.4281,10.3969
NO409,Tydal,,Trøndelag,NO,63.0448,11.6504
NO410,Verdal,,Trøndelag,NO,63.9002,11.7272
NO411,Verran,,Trøndelag,NO,64.0710,11.2180
NO412,Vikna,,Trøndelag,NO,64.8636,11.2420
NO413,Årøysund,,Vestfold og Telemark,NO,59.1832,10.4574
NO414,Åsgårdstrand,,Vestfold og Telemark,NO,59.3494,10.4695
NO415,Bamble,,Vestfold og Telemark,NO,59.0015,9.7457
NO416,Barkåker,,Vestfold og Telemark,NO,59.3186,10.3896
NO417,Berger,,Vestfold og Telemark,NO,59.5499,10.3864
NO418,Bø,,Vestfold og Telemark,NO,59.4128,9.0662
NO419,Dalen,,Vestfold og Telemark,NO,59.4450,8.0049
NO420,Drangedal,,Vestfold og Telemark,NO,59.0966,9.0596
NO421,Færder,,Vestfold og Telemark,NO,59.2279,10.4153
NO422,Fyresdal,,Vestfold og Telemark,NO,59.1865,8.0895
NO423,Gullhaug,,Vestfold og Telemark,NO,59.5013,10.2522
NO424,Gvarv,,Vestfold og Telemark,NO,59.3877,9.1724
NO425,Herre,,Vestfold og Telemark,NO,59.1035,9.5620
NO426,Hjartdal,,Vestfold og Telemark,NO,59.6128,8.9494
NO427,Holmestrand,,Vestfold og Telemark,NO,59.4898,10.3152
NO428,Horten,,Vestfold og Telemark,NO,59.4155,10.4853
NO429,Kragerø,,Vestfold og Telemark,NO,58.8679,9.4110
NO430,Kviteseid,,Vestfold og Telemark,NO,59.4019,8.4946
NO431,Larvik,,Vestfold og Telemark,NO,59.0523,10.0270
NO432,Lunde,,Vestfold og Telemark,NO,59.2983,9.1027
NO433,Melsomvik,,Vestfold og Telemark,NO,59.2239,10.3362
NO434,Nissedal,,Vestfold og Telemark,NO,59.0196,8.5213
NO435,Nome,,Vestfold og Telemark,NO,59.2814,9.2568
NO436,Notodden,,Vestfold og Telemark,NO,59.5599,9.2605
NO437,Porsgrunn,,Vestfold og Telemark,NO,59.1419,9.6568
NO438,Prestestranda,,Vestfold og Telemark,NO,59.0977,9.0587
NO439,Re,,Vestfold og Telemark,NO,59.3506,10.2476
NO440,Rjukan,,Vestfold og Telemark,NO,59.8789,8.5941
NO441,Sande,,Vestfold og Telemark,NO,59.5936,10.2076
NO442,Sandefjord,,Vestfold og Telemark,NO,59.1288,10.2197
NO443,Sauherad,,Vestfold og Telemark,NO,59.3964,9.2491
NO444,Seljord,,Vestfold og Telemark,NO,59.4827,8.6267
