id,name,alt_name,region,country,latitude,longitude
FI230,Vörå,,Ostrobothnia,FI,63.1361,22.2522
FI231,Artjärvi,,Päijät-Häme,FI,60.7454,26.0708
FI232,Asikkala,,Päijät-Häme,FI,61.2167,25.5000
FI233,Auttoinen,,Päijät-Häme,FI,61.2990,25.0889
FI234,Hämeenkoski,,Päijät-Häme,FI,61.0222,25.1542
FI235,Hartola,,Päijät-Häme,FI,61.5833,26.0167
FI236,Heinola,,Päijät-Häme,FI,61.2056,26.0381
FI237,Hollola,,Päijät-Häme,FI,61.0500,25.4333
FI238,Lahti,,Päijät-Häme,FI,60.9827,25.6615
FI239,Nastola,,Päijät-Häme,FI,60.9500,25.9333
FI240,Orimattila,,Päijät-Häme,FI,60.8049,25.7296
FI241,Padasjoki,,Päijät-Häme,FI,61.3500,25.2833
FI242,Sysmä,,Päijät-Häme,FI,61.5000,25.6833
FI243,Äetsä,,Pirkanmaa,FI,61.2833,22.6833
FI244,Aimala,,Pirkanmaa,FI,61.3300,23.6900
FI245,Aitoo,,Pirkanmaa,FI,61.3390,24.4943
FI246,Akaa,,Pirkanmaa,FI,61.1667,23.8681
FI247,Amuri,,Pirkanmaa,FI,61.5000,23.7450
FI248,Haihara,,Pirkanmaa,FI,61.4763,23.8771
FI249,Hallila,,Pirkanmaa,FI,61.4625,23.8292
FI250,Hämeenkyrö,,Pirkanmaa,FI,61.6333,23.2000
FI251,Hervanta,,Pirkanmaa,FI,61.4481,23.8521
FI252,Ikaalinen,,Pirkanmaa,FI,61.7694,23.0681
FI253,Juupajoki,,Pirkanmaa,FI,61.7967,24.3700
FI254,Kangasala,,Pirkanmaa,FI,61.4639,24.0650
FI255,Kihniö,,Pirkanmaa,FI,62.2083,23.1792
FI256,Kiikka,,Pirkanmaa,FI,61.3208,22.7754
FI257,Kiikoinen,,Pirkanmaa,FI,61.4500,22.5750
FI258,Kolho,,Pirkanmaa,FI,62.1333,24.5167
FI259,Kuhmalahti,,Pirkanmaa,FI,61.5050,24.5667
FI260,Kuru,,Pirkanmaa,FI,61.8756,23.7195
FI261,Kylmäkoski,,Pirkanmaa,FI,61.1500,23.6917
FI262,Längelmäki,,Pirkanmaa,FI,61.6889,24.6919
FI263,Lempäälä,,Pirkanmaa,FI,61.3139,23.7528
FI264,Lentävänniemi,,Pirkanmaa,FI,61.5280,23.7058
FI265,Lielahti,,Pirkanmaa,FI,61.5167,23.6667
FI266,Luopioinen,,Pirkanmaa,FI,61.3629,24.6678
FI267,Mänttä,,Pirkanmaa,FI,62.0301,24.6279
FI268,Messukylä,,Pirkanmaa,FI,61.4853,23.8447
FI269,Mouhijärvi,,Pirkanmaa,FI,61.5000,23.0167
FI270,Naistenmatka,,Pirkanmaa,FI,61.4652,23.6525
FI271,Nekala,,Pirkanmaa,FI,61.4833,23.7906
FI272,Nokia,,Pirkanmaa,FI,61.4767,23.5053
FI273,Nurmi,,Pirkanmaa,FI,61.5378,23.9418
FI274,Nuutajärvi,,Pirkanmaa,FI,61.0400,23.4300
FI275,Orivesi,,Pirkanmaa,FI,61.6778,24.3569
FI276,Osara,,Pirkanmaa,FI,61.7087,23.1587
FI277,Pälkäne,,Pirkanmaa,FI,61.3540,24.5191
FI278,Parkano,,Pirkanmaa,FI,62.0097,23.0250
FI279,Pirkkala,,Pirkanmaa,FI,61.4667,23.6500
FI280,Pispala,,Pirkanmaa,FI,61.5061,23.7025
FI281,Pohjaslahti,,Pirkanmaa,FI,62.1563,24.1319
FI282,Punkalaidun,,Pirkanmaa,FI,61.1117,23.1050
FI283,Ruovesi,,Pirkanmaa,FI,61.9833,24.0833
FI284,Sääksmäki,,Pirkanmaa,FI,61.2000,24.0667
FI285,Sahalahti,,Pirkanmaa,FI,61.4667,24.3167
FI286,Sastamala,,Pirkanmaa,FI,61.3417,22.9083
FI287,Suodenniemi,,Pirkanmaa,FI,61.5581,22.7853
FI288,Suoniemi,,Pirkanmaa,FI,61.4411,23.2150
FI289,Tampere,,Pirkanmaa,FI,61.4981,23.7600
FI290,Teisko,,Pirkanmaa,FI,61.6734,23.8477
FI291,Toijala,,Pirkanmaa,FI,61.1678,23.8382
FI292,Tottijärvi,,Pirkanmaa,FI,61.3978,23.3428
FI293,Urjala,,Pirkanmaa,FI,61.0833,23.5500
FI294,Valkeakoski,,Pirkanmaa,FI,61.2667,24.0306
